Country,Happiness Rank,Happiness Score,Standard error of happiness score,Lower Confidence Interval,Upper Confidence Interval,Economy (Log GDP per capita),Family,Freedom,Generosity,Trust (Government Corruption)
Finland,1.0,7.804,0.036,7.875,7.733,1.888,1.585,0.772,0.126,0.535
Denmark,2.0,7.586,0.041,7.667,7.506,1.949,1.548,0.734,0.208,0.525
Iceland,3.0,7.53,0.049,7.625,7.434,1.926,1.62,0.738,0.25,0.187
Israel,4.0,7.473,0.032,7.535,7.411,1.833,1.521,0.569,0.124,0.158
Netherlands,5.0,7.403,0.029,7.46,7.346,1.942,1.488,0.672,0.251,0.394
Sweden,6.0,7.395,0.037,7.468,7.322,1.921,1.51,0.754,0.225,0.52
Norway,7.0,7.315,0.044,7.402,7.229,1.994,1.521,0.752,0.212,0.463
Switzerland,8.0,7.24,0.043,7.324,7.156,2.022,1.463,0.678,0.151,0.475
Luxembourg,9.0,7.228,0.069,7.363,7.093,2.2,1.357,0.71,0.149,0.418
New Zealand,10.0,7.123,0.038,7.198,7.048,1.842,1.544,0.672,0.23,0.471
Austria,11.0,7.097,0.04,7.176,7.018,1.927,1.382,0.63,0.191,0.31
Australia,12.0,7.095,0.044,7.18,7.009,1.899,1.497,0.677,0.242,0.31
Canada,13.0,6.961,0.042,7.042,6.879,1.881,1.484,0.656,0.218,0.364
Ireland,14.0,6.911,0.044,6.996,6.825,2.152,1.425,0.656,0.186,0.409
United States,15.0,6.894,0.047,6.986,6.802,1.98,1.46,0.557,0.21,0.172
Germany,16.0,6.892,0.049,6.989,6.795,1.919,1.401,0.618,0.153,0.365
Belgium,17.0,6.859,0.034,6.926,6.793,1.907,1.449,0.59,0.137,0.273
Czechia,18.0,6.845,0.044,6.931,6.759,1.823,1.544,0.693,0.158,0.05
United Kingdom,19.0,6.796,0.042,6.877,6.714,1.857,1.366,0.626,0.272,0.34
Lithuania,20.0,6.763,0.044,6.849,6.677,1.808,1.511,0.487,0.059,0.089
France,21.0,6.661,0.038,6.735,6.588,1.856,1.433,0.582,0.083,0.27
Slovenia,22.0,6.65,0.051,6.75,6.55,1.815,1.539,0.707,0.144,0.113
Costa Rica,23.0,6.609,0.052,6.71,6.507,1.587,1.34,0.683,0.099,0.116
Romania,24.0,6.589,0.052,6.69,6.488,1.726,1.28,0.631,0.044,0.0
Singapore,25.0,6.587,0.068,6.72,6.454,2.168,1.354,0.66,0.17,0.561
United Arab Emirates,26.0,6.571,0.043,6.656,6.486,2.015,1.223,0.745,0.188,0.247
Taiwan Province of China,27.0,6.535,0.047,6.627,6.444,1.89,1.372,0.562,0.067,0.178
Uruguay,28.0,6.494,0.046,6.583,6.404,1.617,1.445,0.683,0.102,0.254
Slovakia,29.0,6.469,0.056,6.578,6.36,1.731,1.544,0.494,0.128,0.022
Saudi Arabia,30.0,6.463,0.061,6.581,6.344,1.861,1.37,0.682,0.093,0.17
Estonia,31.0,6.455,0.04,6.534,6.377,1.798,1.526,0.728,0.153,0.372
Spain,32.0,6.436,0.042,6.519,6.354,1.798,1.491,0.533,0.101,0.157
Italy,33.0,6.405,0.054,6.511,6.298,1.832,1.365,0.438,0.097,0.063
Kosovo,34.0,6.368,0.06,6.485,6.25,1.374,1.269,0.639,0.275,0.045
Chile,35.0,6.334,0.046,6.424,6.243,1.645,1.384,0.546,0.131,0.076
Mexico,36.0,6.33,0.057,6.441,6.218,1.55,1.169,0.632,0.086,0.115
Malta,37.0,6.3,0.045,6.388,6.212,1.841,1.468,0.671,0.2,0.143
Panama,38.0,6.265,0.081,6.424,6.105,1.714,1.402,0.63,0.065,0.036
Poland,39.0,6.26,0.042,6.343,6.177,1.767,1.474,0.511,0.12,0.139
Nicaragua,40.0,6.259,0.076,6.408,6.109,1.109,1.292,0.66,0.148,0.218
Latvia,41.0,6.213,0.042,6.295,6.131,1.737,1.505,0.58,0.107,0.071
